raw_name,canonical_name,confidence_score,method,entity_type,timestamp
openai,OpenAI,1.0,EXACT_ALIAS,STARTUP,2026-08-28T20:04:32.937315+00:00
Stability-AI,Stability AI,1.0,EXACT_ALIAS,STARTUP,2026-08-28T20:04:32.937429+00:00
allenai,Allenai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.937462+00:00
airbnb,Airbnb,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.939429+00:00
dair-ai,Dair,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.939835+00:00
MoonshotAI,MoonshotAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.940195+00:00
jina-ai,Jina,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.940530+00:00
fastai,Fastai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.940861+00:00
EleutherAI,EleutherAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.941196+00:00
commaai,Commaai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.941547+00:00
LAION-AI,Laion,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.941904+00:00
mistralai,Mistral AI,1.0,EXACT_ALIAS,STARTUP,2026-08-28T20:04:32.942241+00:00
zai-org,Zai Org,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.942260+00:00
AI4Finance-Foundation,AI4Finance Foundation,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.942646+00:00
SakanaAI,Sakana AI,1.0,EXACT_ALIAS,STARTUP,2026-08-28T20:04:32.943031+00:00
nomic-ai,Nomic,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.943047+00:00
tenstorrent,Tenstorrent,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.943364+00:00
AnswerDotAI,AnswerDotAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.943717+00:00
AI4Bharat,AI4Bharat,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.944042+00:00
shareAI-lab,shareAI lab,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.944362+00:00
camel-ai,Camel,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.944756+00:00
fetchai,Fetchai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.945073+00:00
leon-ai,Leon,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.945397+00:00
MonlamAI,MonlamAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.945721+00:00
ai-forever,Forever,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.946027+00:00
VedalAI,VedalAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.946331+00:00
https-deeplearning-ai,Https Deeplearning,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.946667+00:00
unslothai,Unslothai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.947070+00:00
crewAIInc,crewAIInc,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.947340+00:00
Wan-Video,Wan Video,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.947603+00:00
RapidAI,RapidAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.947909+00:00
inclusionAI,inclusionAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.948177+00:00
AirtestProject,AirtestProject,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.948442+00:00
aimacode,Aimacode,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.948713+00:00
labmlai,Labmlai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.948990+00:00
aio-libs,Aio Libs,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.949275+00:00
302ai,302Ai,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.949575+00:00
AirdropFamilyIDN-V2-0,AirdropFamilyIDN V2 0,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.949836+00:00
BerriAI,BerriAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.950179+00:00
Genesis-Embodied-AI,Genesis Embodied,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.950451+00:00
swiss-ai,Swiss,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.950786+00:00
FlowiseAI,FlowiseAI,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.951096+00:00
airbytehq,Airbytehq,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.951375+00:00
FreedomIntelligence,FreedomIntelligence,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.951653+00:00
mozilla-ai,Mozilla,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.951950+00:00
nogibjj,Nogibjj,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.952237+00:00
moeru-ai,Moeru,1.0,PASS_THROUGH,STARTUP,2026-08-28T20:04:32.952536+00:00
