schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/openai,OpenAI,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/Stability-AI,Stability AI,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/allenai,Allenai,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/airbnb,Airbnb,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/dair-ai,Dair,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/MoonshotAI,MoonshotAI,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/jina-ai,Jina,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/fastai,Fastai,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/EleutherAI,EleutherAI,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/commaai,Commaai,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/LAION-AI,Laion,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/mistralai,Mistral AI,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/zai-org,Zai Org,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/AI4Finance-Foundation,AI4Finance Foundation,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/SakanaAI,Sakana AI,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/nomic-ai,Nomic,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/tenstorrent,Tenstorrent,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/AnswerDotAI,AnswerDotAI,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/AI4Bharat,AI4Bharat,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/shareAI-lab,shareAI lab,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/camel-ai,Camel,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/fetchai,Fetchai,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/leon-ai,Leon,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/MonlamAI,MonlamAI,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/ai-forever,Forever,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/VedalAI,VedalAI,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/https-deeplearning-ai,Https Deeplearning,,2026-08-28T20:04:31.731436+00:00
1.0,STARTUP,GitHub AI Ecosystem,https://github.com/unslothai,Unslothai,,2026-08-28T20:04:31.731436+00:00
